,Season,W,L,Finish,Age,Ht.,Wt.,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2019,35.0,37.0,4.0,26.3,6-6,219.0,72.0,17480.0,2908.0,6498.0,0.44799999999999995,941.0,2746.0,0.34299999999999997,1967.0,3752.0,0.524,1291.0,1732.0,0.745,766.0,2683.0,3449.0,1761.0,464.0,323.0,1099.0,1510.0,8048.0
1,2018,42.0,40.0,4.0,25.4,6-7,215.0,82.0,19980.0,3301.0,7358.0,0.449,1047.0,2965.0,0.353,2254.0,4393.0,0.513,1555.0,2088.0,0.745,900.0,2919.0,3819.0,1954.0,539.0,339.0,1236.0,1763.0,9204.0
2,2017,28.0,54.0,5.0,25.1,6-7,218.0,82.0,19855.0,3136.0,7114.0,0.441,1041.0,2924.0,0.35600000000000004,2095.0,4190.0,0.5,1428.0,1850.0,0.772,792.0,2852.0,3644.0,1941.0,512.0,390.0,1245.0,1688.0,8741.0
3,2016,20.0,62.0,5.0,26.0,6-7,224.0,82.0,19755.0,3102.0,6987.0,0.444,877.0,2591.0,0.33799999999999997,2225.0,4396.0,0.506,1592.0,2020.0,0.7879999999999999,721.0,2879.0,3600.0,1756.0,593.0,387.0,1356.0,1726.0,8673.0
4,2015,21.0,61.0,4.0,26.9,6-6,220.0,82.0,19755.0,3136.0,6920.0,0.45299999999999996,531.0,1508.0,0.35200000000000004,2605.0,5412.0,0.48100000000000004,1286.0,1699.0,0.757,863.0,2614.0,3477.0,1829.0,627.0,332.0,1212.0,1476.0,8089.0
5,2014,38.0,44.0,3.0,28.6,6-7,224.0,82.0,19930.0,3069.0,6804.0,0.451,541.0,1633.0,0.331,2528.0,5171.0,0.489,1359.0,1817.0,0.748,846.0,2627.0,3473.0,1716.0,576.0,340.0,1133.0,1579.0,8038.0
6,2013,44.0,38.0,2.0,30.0,6-7,219.0,82.0,19880.0,2931.0,6391.0,0.45899999999999996,709.0,1922.0,0.369,2222.0,4469.0,0.49700000000000005,1508.0,2002.0,0.753,721.0,2407.0,3128.0,1714.0,705.0,311.0,1191.0,1777.0,8079.0
7,2012,49.0,33.0,2.0,28.6,6-7,223.0,82.0,19855.0,2942.0,6544.0,0.45,628.0,1760.0,0.35700000000000004,2314.0,4784.0,0.484,1432.0,1958.0,0.731,1047.0,2460.0,3507.0,1668.0,599.0,391.0,1206.0,1500.0,7944.0
8,2011,22.0,44.0,5.0,26.1,6-6,219.0,66.0,15890.0,2262.0,5320.0,0.425,507.0,1481.0,0.342,1755.0,3839.0,0.457,1113.0,1433.0,0.777,783.0,1879.0,2662.0,1311.0,493.0,260.0,995.0,1268.0,6144.0
9,2010,24.0,58.0,4.0,24.8,6-7,218.0,82.0,20005.0,2918.0,6638.0,0.44,459.0,1337.0,0.34299999999999997,2459.0,5301.0,0.46399999999999997,1427.0,1881.0,0.759,909.0,2440.0,3349.0,1723.0,458.0,384.0,1152.0,1807.0,7722.0
10,2009,12.0,70.0,5.0,24.8,6-7,217.0,82.0,19780.0,2813.0,6554.0,0.429,377.0,1185.0,0.318,2436.0,5369.0,0.45399999999999996,1572.0,2015.0,0.78,897.0,2358.0,3255.0,1540.0,573.0,393.0,1182.0,1643.0,7575.0
11,2008,34.0,48.0,3.0,25.7,6-7,219.0,82.0,19830.0,2925.0,6536.0,0.44799999999999995,652.0,1735.0,0.376,2273.0,4801.0,0.473,1542.0,1980.0,0.779,850.0,2415.0,3265.0,1636.0,559.0,391.0,1075.0,1838.0,8044.0
12,2007,34.0,48.0,4.0,27.4,6-7,222.0,82.0,19830.0,2856.0,6450.0,0.44299999999999995,498.0,1430.0,0.348,2358.0,5020.0,0.47,1647.0,2237.0,0.736,913.0,2520.0,3433.0,1925.0,521.0,390.0,1229.0,1855.0,7857.0
13,2006,41.0,41.0,2.0,28.2,6-7,219.0,82.0,19880.0,2913.0,6379.0,0.457,609.0,1676.0,0.363,2304.0,4703.0,0.49,1566.0,2153.0,0.727,822.0,2525.0,3347.0,1962.0,499.0,273.0,1212.0,1869.0,8001.0
14,2005,49.0,33.0,1.0,28.6,6-7,222.0,82.0,19780.0,2778.0,6317.0,0.44,477.0,1447.0,0.33,2301.0,4870.0,0.47200000000000003,1658.0,2187.0,0.758,822.0,2539.0,3361.0,1884.0,558.0,278.0,1119.0,1903.0,7691.0
